Area Name,Area ID,Normalised Name,Region Name,Region ID,Location Type,Online,Status
Kumeū,AREA-LINZ-2963,kumeu,Auckland,02,Suburb,false,Canonical
Laingholm,AREA-LINZ-2017,laingholm,Auckland,02,Suburb,false,Canonical
Leigh,AREA-LINZ-2861,leigh,Auckland,02,Rural locality,false,Canonical
Long Bay,AREA-LINZ-8824,long bay,Auckland,02,Suburb,false,Canonical
Lucas Heights,AREA-LINZ-8828,lucas heights,Auckland,02,Suburb,false,Canonical
Lynfield,AREA-LINZ-779,lynfield,Auckland,02,Suburb,false,Canonical
Mahurangi East,AREA-LINZ-4085,mahurangi east,Auckland,02,Rural locality,false,Canonical
Mahurangi West,AREA-LINZ-795,mahurangi west,Auckland,02,Rural locality,false,Canonical
Mairangi Bay,AREA-LINZ-2880,mairangi bay,Auckland,02,Suburb,false,Canonical
Makarau,AREA-LINZ-805,makarau,Auckland,02,Rural locality,false,Canonical
Mangakura,AREA-LINZ-822,mangakura,Auckland,02,Rural locality,false,Canonical
Māngere,AREA-LINZ-2737,mangere,Auckland,02,Suburb,false,Canonical
Māngere Bridge,AREA-LINZ-836,mangere bridge,Auckland,02,Suburb,false,Canonical
Māngere East,AREA-LINZ-837,mangere east,Auckland,02,Suburb,false,Canonical
Manly,AREA-LINZ-2878,manly,Auckland,02,Suburb,false,Canonical
Manukau,AREA-LINZ-841,manukau,Auckland,02,Suburb,false,Canonical
Manukau Heads,AREA-LINZ-2953,manukau heads,Auckland,02,Rural locality,false,Canonical
Manurewa,AREA-LINZ-844,manurewa,Auckland,02,Suburb,false,Canonical
Manurewa East,AREA-LINZ-845,manurewa east,Auckland,02,Suburb,false,Canonical
Maraetai,AREA-LINZ-2721,maraetai,Auckland,02,Suburb,false,Canonical
Massey,AREA-LINZ-4119,massey,Auckland,02,Suburb,false,Canonical
Matakana,AREA-LINZ-875,matakana,Auckland,02,Rural locality,false,Canonical
Matakatia,AREA-LINZ-8777,matakatia,Auckland,02,Suburb,false,Canonical
Mauku,AREA-LINZ-892,mauku,Auckland,02,Rural locality,false,Canonical
Meadowbank,AREA-LINZ-2921,meadowbank,Auckland,02,Suburb,false,Canonical
Mechanics Bay,AREA-LINZ-2729,mechanics bay,Auckland,02,Suburb,false,Canonical
